 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.21543408e-03 1.03390163e-05 3.32444255e-08 1.06895259e-10 3.43714659e-13
 6.43086817e-03 4.13560654e-05 2.65955404e-07 1.71032414e-09 1.09988691e-11
 9.64630225e-03 9.30511471e-05 8.97599490e-07 8.65851598e-09 8.35226622e-11
 1.28617363e-02 1.65424262e-04 2.12764324e-06 2.73651863e-08 3.51963811e-10
 1.60771704e-02 2.58475409e-04 4.15555319e-06 6.68095369e-08 1.07410831e-09
 1.92926045e-02 3.72204588e-04 7.18079592e-06 1.38536256e-07 2.67272519e-09
 2.25080386e-02 5.06611801e-04 1.14028380e-05 2.56655517e-07 5.77681228e-09
 2.57234727e-02 6.61697046e-04 1.70211459e-05 4.37842981e-07 1.12628420e-08
 2.89389068e-02 8.37460324e-04 2.42351862e-05 7.01339794e-07 2.02960069e-08
 3.21543408e-02 1.03390163e-03 3.32444255e-05 1.06895259e-06 3.43714659e-08
 3.53697749e-02 1.25102098e-03 4.42483304e-05 1.56505349e-06 5.53555896e-08
 3.85852090e-02 1.48881835e-03 5.74463674e-05 2.21658009e-06 8.55272061e-08
 4.18006431e-02 1.74729376e-03 7.30380029e-05 3.05303549e-06 1.27618847e-07
 4.50160772e-02 2.02644720e-03 9.12227037e-05 4.10648827e-06 1.84857993e-07
 4.82315113e-02 2.32627868e-03 1.12199936e-04 5.41157249e-06 2.61008319e-07
 5.14469453e-02 2.64678818e-03 1.36169167e-04 7.00548769e-06 3.60410942e-07
 5.46623794e-02 2.98797572e-03 1.63329863e-04 8.92799893e-06 4.88025665e-07
 5.78778135e-02 3.34984130e-03 1.93881490e-04 1.12214367e-05 6.49472221e-07
 6.10932476e-02 3.73238490e-03 2.28023515e-04 1.39306970e-05 8.51071524e-07
 6.43086817e-02 4.13560654e-03 2.65955404e-04 1.71032414e-05 1.09988691e-06
 6.75241158e-02 4.55950621e-03 3.07876625e-04 2.07890969e-05 1.40376538e-06
 7.07395498e-02 5.00408391e-03 3.53986643e-04 2.50408558e-05 1.77137887e-06
 7.39549839e-02 5.46933965e-03 4.04484926e-04 2.99136762e-05 2.21226544e-06
 7.71704180e-02 5.95527342e-03 4.59570939e-04 3.54652815e-05 2.73687059e-06
 8.03858521e-02 6.46188522e-03 5.19444149e-04 4.17559605e-05 3.35658847e-06
 8.36012862e-02 6.98917505e-03 5.84304023e-04 4.88485679e-05 4.08380310e-06
 8.68167203e-02 7.53714292e-03 6.54350028e-04 5.68085233e-05 4.93192968e-06
 9.00321543e-02 8.10578882e-03 7.29781630e-04 6.57038123e-05 5.91545577e-06
 9.32475884e-02 8.69511275e-03 8.10798295e-04 7.56049857e-05 7.04998259e-06
 9.64630225e-02 9.30511471e-03 8.97599490e-04 8.65851598e-05 8.35226622e-06
 9.96784566e-02 9.93579471e-03 9.90384682e-04 9.87200165e-05 9.84025888e-06
 1.02893891e-01 1.05871527e-02 1.08935334e-03 1.12087803e-04 1.15331502e-05
 1.06109325e-01 1.12591888e-02 1.19470492e-03 1.26769332e-04 1.34514083e-05
 1.09324759e-01 1.19519029e-02 1.30663890e-03 1.42847983e-04 1.56168213e-05
 1.12540193e-01 1.26652950e-02 1.42535475e-03 1.60409698e-04 1.80525384e-05
